CARGO,SALÁRIO,REQUISITOS,JORNADA,BENEFICIO,ADICIONAIS,Nº Concurso,Homo. do CP,Prova Prática ou Curso,"Qtd Aprovados
CP",Data Homologação CP,Vencimento CP,Prorrogação CP,"Total Disponível
CP",Regularizar,"Pedidos Abertos
CP","Pedidos em Andamento
CP",MEMO CP,"Qtd Atendida
CP",Desistências e Renúncias CP,Salário real esperado,NÍVEL
Advogado,"R$ 7.497,97",Graduação Superior em Direito e Registro Profissional,30h,-,-,,Não Temos,,,,,,0,,,,,,,"R$ 7.497,97",SUPERIOR 3
Agente Comunitário de Saúde - Alphaville,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Chácara das Garças,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Chácara Solar II,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Cento e Vinte,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,35,22/05/2024,21/05/2026,21/05/2028,24,,,1,865/2026 - SMS,8,2,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Centro,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Colinas,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Cururuquara,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,1,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Fazendinha,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Ingaí,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,13,22/05/2024,21/05/2026,21/05/2028,13,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Itaim,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,7,22/05/2024,21/05/2026,21/05/2028,7,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Itapoã,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,36,22/05/2024,21/05/2026,21/05/2028,36,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Jaguari,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Jaguari Monteiros,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Germano,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Jardim Isaura,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Rancho Alegre - Tarumã,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Parque Santana II,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Refúgio Lavras,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - São Pedro,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,90,22/05/2024,21/05/2026,21/05/2028,88,,,,,1,1,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Sítio do Morro,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Suru,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,12,22/05/2024,21/05/2026,21/05/2028,12,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Votuparim,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente de Atendimento,"R$ 1.897,52",Ensino Médio + Conhecimento de Informatica,40h,V.A + V.T,-,01/01/2023,Aprovados,,34,02/06/2023,01/06/2025,01/06/2027,14,,,3,1-25/2026-SMAFEL         2-603/2026-SMAFEL,5,12,"R$ 1.897,52",MÉDIO 2
Agente de Combate às Endemias,"R$ 3.238,01",Ensino Médio,40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/05/2022,Aprovados,103,25,22/07/2022,21/07/2024,21/07/2026,23,,,,,1,1,"R$ 3.885,61",MÉDIO 1
Agente de Defesa Civil,"R$ 2.035,16","Ensino Médio + CNH ""B"" e Aptidão Fisica",40h,V.A + V.T,,01/03/2026,Aguardando CP,,,,,,0,,1,,1-782/2025-SMSU,,,"R$ 2.035,16",MÉDIO 2
Agente de Limpeza Pública,"R$ 1.897,52",Alfabetizado,40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/03/2026,Aguardando CP,,0,,,,0,,16,2,"1-25/2026-SMAFEL   
  1-208/2026-SMOU                    5-208/2026-SMOU     3-25/2026-SMAFEL           3-168/20256-SMAFEL   4-603/2026-SMAFEL      1-613/2026-SMAFEL",11,60,"R$ 2.277,02",FUNDAMENTAL 1
Agente de Organização Escolar,"R$ 1.897,52",Ensino Fundamental,40h,V.A + V.T,,01/07/2022,Aprovados,,50,28/10/2022,27/10/2024,27/10/2026,6,,,7,1-6502/2025 - SME     1-2018/2026-SME     5-2894/2026-SME,9,28,"R$ 1.897,52",FUNDAMENTAL 1
Agente de Organização Escolar,"R$ 1.897,52",Ensino Fundamental,40h,V.A + V.T,,01/01/2026,Aprovados,,166,29/05/2026,19/05/2028,,166,,,,,,,"R$ 1.897,52",FUNDAMENTAL 1
Agente de Serviços de Alimentação,"R$ 2.035,16",Alfabetizado,40h,V.A + V.T,,01/01/2026,Aguardando CP,,,,,,0,5,23,,1-305/2026-SMS       1-306/2026-SMS    1-1189/2025-SEMEDES  1-83/2026-SEMEDES  1-713/2026-SMS                        7-2445/2025-SME  6-6502/2025-SME             4-2018/2026-SME   1-780/2026-SMS            1-448/2026-SEMEDES             1-452/2026-SEMEDES           1-1836/2026-SMDS         1-1095/2026  - SMS               1-494/2026-SEMEDES,,,"R$ 2.035,16",FUNDAMENTAL 1
Agente de Serviços Gerais,"R$ 1.897,52",Alfabetizado,40h,V.A + V.T,,01/01/2023,Aprovados,,90,19/05/2023,18/05/2025,18/05/2027,16,,,3,"1-2587/2025-SMS 
1-1739/2026-SMDS                      1-132/2026-SMDS",28,43,"R$ 1.897,52",FUNDAMENTAL 1
Agente de Serviços Públicos,"R$ 2.214,33",Alfabetizado,40h,V.A + V.T,,01/01/2026,Aguardando CP,,,,,,0,,28,,2-193/2025-SMOU                           1-588/2025-SMOU                    5-1717/2025-SEMUTTRANS                        1-51/2026-SMAFEL       1-102/2026-SEMEDES      1-265/2026-SMAFEL    1-150/2026-SEMUTTRANS      1-462/2026-SEMUTTRANS    1-461/2026-SEMUTTRANS    10-208/2026-SMOU                     2-S/MEMO SMA                                2-751/2026-SMS,,,"R$ 2.214,33",FUNDAMENTAL 1
Agente de Trânsito,"R$ 3.213,41","Ensino Médio + CNH ""A/B"" e Aptidão Fisica",40h,-,,01/01/2026,Aguardando CP,,,,,,0,,7,,"3-1609/2025-SEMUTTRANS
1-165/2026-SEMUTTRANS         1-195/2026-SEMUTTRANS    1-460/2026-SEMUTTRANS   1-536/2026-SEMUTTRANS",,,"R$ 3.213,41",MÉDIO 2
Analista de Tecnologia da Informação,"R$ 7.497,97",Graduação Superior em cursos da area de Tecnologia da Informação,40h,-,,01/07/2022,Não Temos,43,12,22/12/2022,21/12/2024,21/12/2026,0,,,,,9,3,"R$ 7.497,97",SUPERIOR 1
Analista em Comunicação Social,"R$ 7.497,97","Graduação Superior em Jornalismo, Comunicação Social, Relações Publicas, Marketing, Publicidade e Propaganda",40h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 7.497,97",SUPERIOR 1
Analista em Geoprocessamento,"R$ 7.497,97","Graduação Superior, especialização ou pós graduação em Geoprocessamento",40h,,,,Não Temos,,,,,,0,,,,,,,"R$ 7.497,97",SUPERIOR 3
Analista em Gestão Pública,"R$ 5.355,69",Graduação Superior,40h,,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 1
Analista Programador,"R$ 7.497,97","Graduação Superior na area de Tecnologia da Informação, conhecimento em linguagens de programação em plataforma Web.",40h,,,01/01/2023,Aprovados,,12,16/06/2023,15/06/2025,15/06/2027,11,,,1,314/2026-SMSD,,,"R$ 7.497,97",SUPERIOR 2
Analista Sócio Cultural,"R$ 7.497,97","Graduação Superior em Educação Artistica, Artes Plasticas, Arte Educador, Pedagogia e outras areas de expressão pedagogica, cultural e artistica.",40h,,,01/01/2024,Aprovados,,47,17/05/2024,16/05/2026,16/05/2028,47,,,,,,,"R$ 7.497,97",SUPERIOR 1
Arquiteto,"R$ 9.997,30",Graduação Superior em Arquitetura e registro profissional,40h,,,01/01/2025,Aprovados,,235,25/07/2025,24/07/2027,,223,,,,,11,1,"R$ 9.997,30",SUPERIOR 3
Assessor de Imprensa,"R$ 7.497,97",Graduação Superior em Jornalismo ou Comunicação Social com habilitação em jornalismo e registro profissional,40h,,,,Não Temos,,,,,,0,,,,,,,"R$ 7.497,97",SUPERIOR 3
Assistente em Gestão Pública,"R$ 3.213,41",Ensino Médio e informática,40h,,,,Não Temos,,,,,,0,,,,,,,"R$ 3.213,41",MÉDIO 2
Assistente Social,"R$ 5.355,69",Graduação Superior em Serviço Social e registro profissional,40h,,Adc insalubridade grau minimo 20% salario minimo regional ( SOMENTE servidores que trabalham na Secretaria de Saude),01/01/2025,Aprovados,,42,25/07/2025,24/07/2027,,27,2,,1,1-1293/2025-SMS               1-3275/2025-SMA             1-1873/2026-SMDS,9,5,"R$ 6.426,83",SUPERIOR 3
Assistente Técnico Jurídico,"R$ 9.069,37",Graduação Superior em Direito e registro na OAB,40h,,,01/01/2023,Aprovados,,22,19/05/2023,18/05/2025,18/05/2027,22,,,,,,,"R$ 9.069,37",SUPERIOR 3
Auditor Fiscal Tributário Municipal,"R$ 9.069,37",Graduação Superior em Ciências Contábeis,40h,,,01/07/2022,Aprovados,,37,18/11/2022,17/11/2024,17/11/2026,37,,,,,,,"R$ 9.069,37",SUPERIOR 1
Auxiliar de Desenvolvimento Infantil,"R$ 2.214,33",Ensino Médio,40h,V.A + V.T,"Abono pecuniário mensal no valor de                (R$ 400,00)",01/04/2025,Aprovados,,189,30/12/2025,29/12/2027,,155,,,33,3-2018/2026-SME               3-2019/2026-SME         27-3038/2026-SME,,1,"R$ 2.214,33",MÉDIO 1
Auxiliar de Desenvolvimento Infantil,"R$ 2.214,33",Ensino Médio,40h,V.A + V.T,"Abono pecuniário mensal no valor de                (R$ 400,00)",01/03/2026,Aguardando CP,,,,,,0,23,,2,2- 2018/2026 - SME                              23-6502/2025-SME,117,23,"R$ 2.214,33",MÉDIO 1
Auxiliar de Farmácia,"R$ 2.699,27",Ensino Médio e curso de Auxiliar de Fármacia com carga horária minima de 100h,40h,V.A + V.T,Adc insalubridade grau medio 20% salario minimo regional,01/01/2025,Aprovados,,194,25/07/2025,24/07/2027,,166,12,,,4-511/2025-SMS (REGULARIZAÇÃO)      3-58/2025-SMS (REGULARIZAÇÃO)      1626/2025-SMS (REGULARIZAÇÃO)     1560/2025-SMS (REGULARIZAÇÃO)     1519/2025-SMS (REGULARIZAÇÃO)           1523/2025-SMS (REGULARIZAÇÃO)        1521/2025-SMS (REGULARIZAÇÃO),17,11,"R$ 3.239,12",MÉDIO 2
Auxiliar em Saúde Bucal,"R$ 2.699,27","Ensino Médio, curso profissionalizante  e registro profissional",40h,V.A,Adc insalubridade grau medio 20% salario minimo regional + adc uregcncia e emergencia,01/01/2025,Aprovados,,23,27/08/2025,26/08/2027,,18,,,,,3,2,"R$ 3.239,12",MÉDIO 3
Bibliotecário,"R$ 5.355,69",Graduação Superior em Biblioteconomia e registro profissional,30h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 3
Biólogo,"R$ 5.355,69","Bacharelado em Biologia ou bacherelado ou licenciado em Historia Natural, ou Ciencias Biologicas, licenciatura em Ciencias com habilitação em Biologia, com registro no Conselho Regional de Biologia.",30h,-,,01/01/2025,Aprovados,,81,25/07/2025,24/07/2027,,79,,,,,2,,"R$ 5.355,69",SUPERIOR 3
Biomédico,"R$ 5.355,69",Graduação Superior em Biomedicina e registro profissional,30h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 3
Buerista,"R$ 2.035,16",Alfabetizado,40h,V.A + V.T,Adc de Insalubridade de grau maximo - 40% do salário mínimo municipal,,Cargo p/ Vacância,,,,,,0,,,,,,,"R$ 2.849,22",FUNDAMENTAL 1
Cinegrafista,"R$ 3.213,41","Ensino Médio e curso técnico especifico, conhecimentos em softwares de edição de imagem e técnicas de iluminação",40h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 3.213,41",MÉDIO 3
Cirurgião Dentista,"R$ 5.355,69","Graduação superior em Odontologia, registro profissional e especialização conforme área de atuação.",16h,-,Adc Insalubridade de grau médio - 20% do salário mínimo municipal,01/01/2026,Aprovados,,192,29/05/2026,19/05/2028,,192,,,,,,,"R$ 6.426,83",SUPERIOR 3
Cirurgião Dentista (Bucomaxilo facial),"R$ 5.355,69","Graduação superior em Odontologia, registro profissional e especialização conforme área de atuação.",16h,-,Adc Insalubridade de grau médio - 20% do salário mínimo municipal,01/05/2023,Aprovados,,26,24/11/2023,23/11/2025,23/11/2027,26,1,,,1565/2025-SMS,,,"R$ 6.426,83",SUPERIOR 3
Cirurgião Dentista (Endodontista),"R$ 5.355,69","Graduação superior em Odontologia, registro profissional e especialização conforme área de atuação.",16h,-,Adc Insalubridade de grau médio - 20% do salário mínimo municipal,01/01/2026,Aprovados,,32,29/05/2026,19/05/2028,,32,,,,,,,"R$ 6.426,83",SUPERIOR 3
Cirurgião Dentista (Periodontista),"R$ 5.355,69","Graduação superior em Odontologia, registro profissional e especialização conforme área de atuação.",16h,-,Adc Insalubridade de grau médio - 20% do salário mínimo municipal,01/01/2026,Aprovados,,6,29/05/2026,19/05/2028,,6,,,,,,,"R$ 6.426,83",SUPERIOR 3
Cirurgião Dentista (Protesista),"R$ 5.355,69","Graduação superior em Odontologia, registro profissional e especialização conforme área de atuação.",16h,-,Adc Insalubridade de grau médio - 20% do salário mínimo municipal,01/01/2026,Aprovados,,13,29/05/2026,19/05/2028,,13,,,,,,,"R$ 6.426,83",SUPERIOR 3
Cirurgião Dentista Odontopediatra,"R$ 5.355,69","Graduação superior em Odontologia, registro profissional e especialização conforme área de atuação.",16h,-,Adc Insalubridade de grau médio - 20% do salário mínimo municipal,01/01/2026,Aprovados,,12,29/05/2026,19/05/2028,,12,,,,,,,"R$ 6.426,83",SUPERIOR 3
Comprador,"R$ 5.355,69",Ensino Médio,40h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",MÉDIO 1
Contador,"R$ 7.497,97",Graduação Superior em Ciências Contábeis e registro profissional,40h,-,,01/01/2025,Aprovados,,41,25/07/2025,24/07/2027,,41,,,,,,,"R$ 7.497,97",SUPERIOR 3
Coveiro,"R$ 3.238,01",Alfabetizado,40h,V.A + V.T,Adc insalubridade grau medio 20% salario minimo regional,01/01/2025,Aprovados,76,7,27/08/2025,26/08/2027,,7,,,,,,,"R$ 3.885,61",FUNDAMENTAL 1
Desenhista Técnico,"R$ 3.213,41",Ensino Médio e curso Tecnico de Desenho,40h,-,,01/01/2023,Aprovados,,9,28/04/2023,27/04/2025,22/04/2027,5,,,,,1,3,"R$ 3.213,41",MÉDIO 3
Diretor de Escola,"R$ 7.049,12","Graduação em Curso Superior de licenciatura plena em Pedagogia ou pósgraduação “latu sensu” na área de Gestão Escolar, com carga horária mínima de 360 horas e possuir no mínimo 05 (cinco) anos
de efetivo exercício em funções do magistério, comprovadamente.",40h,V.A,"Gratificação por complexidade (Padrão: R$ 1.500,00 ; Média: R$ 2.000,00; e Alta: R$ 2.500,00)",01/04/2023,Aprovados,,54,06/10/2023,05/10/2025,05/10/2027,54,,,,,,,"R$ 7.049,12",SUPERIOR 3
Educador Esportivo - Atividades aquáticas,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,6,,1-AMPLIAÇÃO-SMAFEL         1-343/2026-SMAFEL                 1-483/2026-SMAFEL                        1-488/2026 - SMAFEL                1-511/2026-SMAFEL             1-522/2026-SMAFEL,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Atletismo,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Basquete,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,1,,1-308/2026-SMAFEL,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Boxe,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/05/2023,Aprovados,,2,12/01/2024,11/01/2026,12/01/2028,2,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Capoeira,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Futebol,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2024,Aprovados,,8,14/06/2024,13/06/2026,13/06/2028,8,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Futsal,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Ginástica Artística,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Ginástica de Academia,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,1,,1-49/2026-SMDS,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Ginástica Rítmica,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,1,,452/2026,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Handebol,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Jiu-jitsu,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/07/2022,Aprovados,,2,09/12/2022,08/12/2024,08/12/2026,2,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Judo,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Karatê,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/05/2023,Aprovados,,1,12/01/2024,11/01/2026,12/01/2028,1,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Muay Thai,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,,,1,,164/2026-SMAFEL,1,1,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Natação Adaptada,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,,Não Solicitado,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Preparador de Goleiros Futebol e Futsal,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/07/2022,Aprovados,,2,09/12/2022,08/12/2024,08/12/2026,2,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Skate,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,,Não Solicitado,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Taekwondo,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,,Não Solicitado,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Tênis,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Vôlei,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2026,Aguardando CP,,,,,,,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Esportivo - Wrestling (Luta Olímpica Greco Romana),"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/07/2022,Aprovados,,1,09/12/2022,08/12/2024,08/12/2026,1,,,,,,,"R$ 2.677,85",SUPERIOR 3
Educador Histórico Cultural,"R$ 2.677,85",Bacharelado em Educação Fisica e registro profissional,20h,-,,01/01/2024,Aprovados,,19,29/05/2024,28/05/2026,28/05/2028,19,,,,,,,"R$ 2.677,85",SUPERIOR 3
Enfermeiro,"R$ 5.519,02",Graduação Superior em Enfermagem e registro profissional,30h,-,,01/04/2025,Aprovados,,428,10/12/2025,09/12/2027,,421,4,,1,1-1859/2025-SMS    1-1564/2025-SMS                   1-2107/2025-SMS     1-1646/2025-SMS              1-1000/2026-SMS,4,2,"R$ 5.519,02",SUPERIOR 3
Enfermeiro do Trabalho,"R$ 5.519,02",Graduação Superior em Enfermagem e registro profissional,30h,-,,01/07/2022,Aprovados,,11,28/10/2022,27/10/2024,27/10/2026,11,,,,,,,"R$ 5.519,02",SUPERIOR 3
Engenheiro Agrônomo,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,31,25/07/2025,24/07/2027,,25,,,,,1,5,"R$ 9.997,30",SUPERIOR 3
Engenheiro Ambiental,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,44,25/07/2025,24/07/2027,,36,,,,,5,3,"R$ 9.997,30",SUPERIOR 3
